σ,0,0.1,0.2,0.3,0.4,0.5,0.6
MPDA,0.435,0.413,0.362,0.331,0.299,0.281,0.269
PnPDA,0.424,0.396,0.338,0.273,0.23,0.205,0.191
MPDA-P,0.353,0.353,0.35,0.349,0.347,0.345,0.345
PnPDA-P,0.447,0.432,0.386,0.351,0.323,0.299,0.285
STAMP,0.287,0.287,0.282,0.282,0.279,0.273,0.276
NegoCollab,0.328,0.323,0.313,0.304,0.295,0.289,0.286
NegoCollab-FT,0.494,0.461,0.405,0.358,0.328,0.31,0.298
